SNR(dB),Outage_NonCoop,Outage_Coop
0,0.8144,0.6358
2,0.6594,0.3924
4,0.5002,0.2216
6,0.3408,0.1178
8,0.2316,0.0474
10,0.154,0.018
12,0.0988,0.0104
14,0.0646,0.005
16,0.0414,0.0014
18,0.026,0.001
20,0.016,0.0006
